X, Y, Pressure, TiltX, TiltY, Time
675.5925,508.06,0.535888671875,11746,10608,00:01.8073939
678.3,509.58,0.544677734375,11788,10935,00:01.8231998
681.2925,510.466666666667,0.436767578125,11670,11118,00:01.8319035
686.28,509.453333333333,0.368408203125,11670,11118,00:01.8328965
687.135,509.073333333333,0.3759765625,11670,11118,00:01.8455387
689.13,508.186666666667,0.397216796875,11670,11118,00:01.8616162
691.695,506.92,0.412353515625,11670,11118,00:01.8636030
692.4075,506.54,0.412353515625,11670,11118,00:01.8827724
693.12,506.286666666667,0.412353515625,11670,11118,00:01.8860203
693.975,506.033333333333,0.4072265625,11670,11118,00:01.8973674
696.825,504.893333333333,0.3837890625,11651,11145,00:01.9073591
697.965,504.386666666667,0.362548828125,11630,11173,00:01.9123512
699.2475,503.88,0.3388671875,11609,11201,00:01.9221256
727.605,484.88,0.29638671875,10985,10983,00:01.9760113
727.605,484.88,0.314453125,10985,10983,00:01.9880937
727.89,484.753333333333,0.406005859375,10985,10983,00:02.0037277
728.46,485.133333333333,0.417236328125,11027,11026,00:02.0189699
728.745,485.26,0.417236328125,11073,11071,00:02.0530846
729.03,485.386666666667,0.414306640625,11073,11071,00:02.0565120
729.03,485.386666666667,0.39697265625,11073,11071,00:02.0648902
743.9925,449.286666666667,0.322998046875,11350,11694,00:02.1923057
731.7375,446.626666666667,0.405517578125,11394,11743,00:02.2047220
723.045,443.46,0.482421875,11433,11786,00:02.2327092
719.34,441.813333333333,0.482421875,11527,11889,00:02.2415287
714.6375,437.76,0.45849609375,11625,11996,00:02.2527095
712.3575,433.326666666667,0.29248046875,11625,11996,00:02.2616837
714.3525,408.373333333333,0.499267578125,11609,12940,00:02.4055443
711.5025,407.866666666667,0.52978515625,11609,12940,00:02.4077744
710.6475,407.74,0.49462890625,11609,12940,00:02.4188183
738.8625,388.106666666667,0.316650390625,11505,13019,00:02.6117687
738.5775,387.98,0.332763671875,11505,13019,00:02.6117687
759.9525,362.013333333333,0.3330078125,11660,13163,00:02.8270222
716.3475,354.16,0.26416015625,11511,13635,00:03.0406607
711.36,354.413333333333,0.280517578125,11511,13635,00:03.0426592
674.4525,345.673333333333,0.109130859375,11359,13704,00:03.2334082
647.52,413.313333333333,0.244873046875,11065,13022,00:03.7089677
647.52,413.313333333333,0.248779296875,11113,13008,00:03.7214802
647.3775,413.186666666667,0.26220703125,11192,12982,00:03.7363769
646.8075,412.933333333333,0.2763671875,11192,12982,00:03.7617680
646.8075,412.933333333333,0.2763671875,11230,12969,00:03.7721986
646.8075,413.186666666667,0.2578125,11230,12969,00:03.7786483
661.485,420.026666666667,0.458984375,11204,12128,00:03.9741922
658.35,418.76,0.487060546875,11204,12128,00:03.9803792
660.06,420.026666666667,0.528564453125,11303,12533,00:04.1627057
657.78,418.633333333333,0.56103515625,11303,12533,00:04.1647056
657.21,418.126666666667,0.5419921875,11303,12533,00:04.1786237
655.6425,416.86,0.468017578125,11303,12533,00:04.1933749
653.6475,415.72,0.426025390625,11303,12533,00:04.2077165
633.1275,392.033333333333,0.704345703125,11322,12654,00:04.3917954
630.42,391.526666666667,0.718017578125,11322,12654,00:04.4055529
627.285,390.64,0.558349609375,11322,12654,00:04.4075503
626.715,390.513333333333,0.514404296875,11363,12708,00:04.4162196
638.5425,390.766666666667,0.499267578125,10877,13184,00:04.5650148
637.4025,390.133333333333,0.52978515625,10877,13184,00:04.5821805
635.4075,388.993333333333,0.52978515625,10877,13184,00:04.5841761
634.8375,388.613333333333,0.52001953125,10877,13184,00:04.5963446
633.27,387.346666666667,0.479736328125,10877,13184,00:04.6026890
654.2175,375.693333333333,0.322998046875,11128,13302,00:04.8035342
654.2175,374.173333333333,0.3427734375,11128,13302,00:04.8056389
682.005,374.426666666667,0.67529296875,10659,12948,00:04.9888808
678.585,372.653333333333,0.716796875,10659,12948,00:04.9888808
678.015,372.273333333333,0.691162109375,10659,12948,00:05.0011059
Time Elapsed till drawing started: 00:01.7857952
Time Elapsed till drawing submit: 00:09.4047775
