X, Y, Pressure, TiltX, TiltY, Time
585.5325,482.853333333333,0.26416015625,10635,13094,00:07.3639809
585.39,482.6,0.280517578125,10635,13094,00:07.3796028
586.1025,481.84,0.32421875,10635,13094,00:07.3955935
589.5225,480.573333333333,0.40234375,10635,13094,00:07.3955935
590.6625,480.193333333333,0.41796875,10635,13094,00:07.4112616
595.5075,479.053333333333,0.46484375,10635,13094,00:07.4112616
597.36,478.8,0.48046875,10635,13094,00:07.4310261
602.9175,477.66,0.52734375,10504,13120,00:07.4310261
609.1875,476.266666666667,0.57421875,10504,13120,00:07.4466526
611.4675,475.76,0.58984375,10504,13120,00:07.4622775
621.1575,474.366666666667,0.65234375,10411,13137,00:07.4622775
623.58,474.113333333333,0.6552734375,10367,13144,00:07.4779016
633.27,473.606666666667,0.66845703125,10270,13159,00:07.4935164
646.095,473.48,0.7177734375,10160,13175,00:07.5091476
655.9275,473.86,0.7177734375,10060,13188,00:07.5091476
658.635,473.986666666667,0.7177734375,10060,13188,00:07.5312791
666.33,474.24,0.74609375,9997,13195,00:07.5312791
668.4675,474.366666666667,0.76171875,9920,13203,00:07.5474178
674.88,474.366666666667,0.7802734375,9733,13161,00:07.5474178
677.0175,474.366666666667,0.7802734375,9733,13161,00:07.5628303
688.4175,474.366666666667,0.7802734375,9533,13175,00:07.5628303
690.84,474.24,0.7802734375,9481,13178,00:07.5781588
700.3875,473.86,0.7802734375,9481,13178,00:07.5938513
711.36,473.226666666667,0.7802734375,9377,13183,00:07.5938513
713.7825,473.226666666667,0.7802734375,9321,13185,00:07.6094664
721.4775,472.846666666667,0.7802734375,9321,13185,00:07.6250227
730.3125,472.34,0.81689453125,9274,13186,00:07.6471742
742.14,471.58,0.842041015625,9218,13188,00:07.6628134
751.1175,470.693333333333,0.842041015625,9173,13189,00:07.6784052
758.67,469.806666666667,0.836181640625,9126,13190,00:07.6784052
760.5225,469.68,0.832275390625,9126,13190,00:07.6940322
764.94,469.173333333333,0.83447265625,9126,13190,00:07.7096486
772.35,468.793333333333,0.832275390625,9007,13190,00:07.7252705
778.1925,468.793333333333,0.83837890625,8841,13189,00:07.7474012
787.0275,468.793333333333,0.828125,8841,13189,00:07.7630239
794.865,468.54,0.83056640625,8685,13185,00:07.7630239
796.005,468.413333333333,0.83447265625,8629,13183,00:07.7786450
799.2825,468.286666666667,0.842529296875,8518,13178,00:07.7786450
800.28,468.286666666667,0.842529296875,8518,13178,00:07.7942994
803.8425,468.286666666667,0.842529296875,8518,13178,00:07.7942994
804.6975,468.286666666667,0.842529296875,8518,13178,00:07.8098976
807.2625,468.413333333333,0.836181640625,8518,13178,00:07.8316924
808.83,468.793333333333,0.828125,8518,13178,00:07.8316924
809.5425,468.92,0.818115234375,8518,13178,00:07.8474325
811.8225,469.68,0.783935546875,8518,13178,00:07.8474325
812.3925,470.06,0.744140625,8518,13178,00:07.8474325
Time Elapsed till drawing started: 00:06.8291611
Time Elapsed till drawing submit: 00:10.6654593
