X, Y, Pressure, TiltX, TiltY, Time
1008.045,525.16,0.282470703125,12576,9174,00:03.5217102
1005.765,524.653333333333,0.300048828125,12576,9174,00:03.5373369
1005.0525,523.766666666667,0.30078125,12576,9174,00:03.5529366
1004.7675,522.5,0.31298828125,12576,9174,00:03.5684982
1004.7675,520.726666666667,0.328857421875,12576,9174,00:03.5684982
1004.625,520.093333333333,0.333251953125,12576,9174,00:03.5904431
1004.34,516.293333333333,0.362548828125,12576,9174,00:03.5904431
1004.1975,515.28,0.36962890625,12576,9174,00:03.6061751
1004.055,512.113333333333,0.3916015625,12576,9174,00:03.6213762
1003.77,509.706666666667,0.40625,12575,9211,00:03.6213762
1003.6275,507.173333333333,0.4208984375,12574,9249,00:03.6371482
1003.0575,501.473333333333,0.4287109375,12574,9249,00:03.6371482
1003.0575,499.953333333333,0.433349609375,12574,9249,00:03.6527669
1002.345,495.646666666667,0.447998046875,12572,9287,00:03.6527669
1002.06,494.253333333333,0.45654296875,12570,9326,00:03.6682378
1001.0625,490.706666666667,0.48486328125,12562,9453,00:03.6682378
1000.635,489.693333333333,0.495361328125,12559,9493,00:03.6903725
998.2125,485.006666666667,0.548095703125,12549,9605,00:03.7059932
995.6475,478.926666666667,0.58056640625,12549,9605,00:03.7216167
993.6525,472.593333333333,0.5859375,12549,9605,00:03.7372355
991.515,466.766666666667,0.60302734375,12530,9772,00:03.7528617
989.3775,461.193333333333,0.61767578125,12525,9810,00:03.7528617
988.95,459.926666666667,0.620361328125,12525,9810,00:03.7750032
987.24,454.733333333333,0.629150390625,12577,9826,00:03.7750032
986.955,453.466666666667,0.629150390625,12577,9826,00:03.7906299
985.3875,446.246666666667,0.634033203125,12566,9903,00:03.8062631
984.39,439.913333333333,0.634033203125,12591,10076,00:03.8062631
984.2475,438.393333333333,0.634033203125,12585,10112,00:03.8218842
983.6775,433.58,0.634033203125,12677,10190,00:03.8375056
983.1075,427.88,0.641357421875,12728,10212,00:03.8531271
982.68,422.686666666667,0.647705078125,12776,10320,00:03.8687485
982.2525,417.62,0.66259765625,12750,10444,00:03.8909698
981.9675,409.133333333333,0.67333984375,12741,10481,00:03.9069498
981.825,403.433333333333,0.67333984375,12741,10481,00:03.9069498
981.6825,402.04,0.67138671875,12741,10481,00:03.9225364
981.3975,397.86,0.66943359375,12732,10521,00:03.9379055
980.97,392.286666666667,0.681640625,12691,10677,00:03.9567186
980.2575,386.713333333333,0.681640625,12691,10677,00:03.9608079
979.6875,384.18,0.6865234375,12741,10706,00:03.9753907
978.8325,379.113333333333,0.692138671875,12741,10706,00:03.9910364
977.6925,372.78,0.697509765625,12710,10812,00:04.0066456
976.98,369.106666666667,0.702392578125,12710,10812,00:04.0066456
976.8375,367.966666666667,0.702392578125,12710,10812,00:04.0222714
976.2675,363.533333333333,0.70654296875,12710,10812,00:04.0378899
975.555,359.733333333333,0.70654296875,12710,10812,00:04.0378899
975.4125,358.72,0.70849609375,12710,10812,00:04.0535186
974.8425,355.173333333333,0.71240234375,12688,10883,00:04.0535186
974.7,354.413333333333,0.71240234375,12688,10883,00:04.0752960
974.415,351.88,0.71435546875,12665,10953,00:04.0752960
974.2725,351.12,0.71435546875,12665,10953,00:04.0909234
973.56,347.7,0.71630859375,12652,10988,00:04.1065565
973.1325,345.546666666667,0.71826171875,12652,10988,00:04.1065565
973.1325,344.913333333333,0.71826171875,12652,10988,00:04.1221779
972.99,343.646666666667,0.72021484375,12652,10988,00:04.1377987
972.705,342.126666666667,0.72021484375,12652,10988,00:04.1377987
972.5625,341.746666666667,0.72021484375,12652,10988,00:04.1534202
972.5625,340.986666666667,0.72021484375,12652,10988,00:04.1534202
972.5625,340.733333333333,0.72021484375,12652,10988,00:04.1690348
972.42,339.846666666667,0.72216796875,12652,10988,00:04.1912098
972.2775,338.326666666667,0.72216796875,12652,10988,00:04.2070803
972.2775,337.693333333333,0.72216796875,12652,10988,00:04.2227979
972.135,336.933333333333,0.72216796875,12652,10988,00:04.2380930
971.9925,336.3,0.72216796875,12652,10988,00:04.2380930
971.9925,336.046666666667,0.72216796875,12652,10988,00:04.2536808
971.85,335.666666666667,0.72216796875,12652,10988,00:04.2536808
971.85,335.666666666667,0.72216796875,12652,10988,00:04.2692963
971.85,335.413333333333,0.72216796875,12652,10988,00:04.2758156
971.7075,335.16,0.72216796875,12652,10988,00:04.2914492
971.565,335.033333333333,0.72216796875,12652,10988,00:04.2914492
971.4225,334.78,0.72216796875,12652,10988,00:04.3070664
970.995,334.4,0.72216796875,12652,10988,00:04.3226990
970.2825,334.146666666667,0.72607421875,12652,10988,00:04.3226990
969.9975,333.893333333333,0.72607421875,12652,10988,00:04.3383204
969.7125,333.766666666667,0.72607421875,12652,10988,00:04.3539388
969.4275,333.64,0.72607421875,12639,11024,00:04.3761264
967.575,333.26,0.730224609375,12639,11024,00:04.3761264
967.1475,333.26,0.730224609375,12639,11024,00:04.3917639
965.4375,333.133333333333,0.734130859375,12639,11024,00:04.4073894
963.87,333.133333333333,0.734130859375,12639,11024,00:04.4230105
962.445,333.133333333333,0.736083984375,12639,11024,00:04.4388150
960.8775,333.133333333333,0.740478515625,12639,11024,00:04.4388150
960.5925,333.26,0.742431640625,12639,11024,00:04.4546148
959.4525,333.386666666667,0.74169921875,12639,11024,00:04.4698729
958.0275,333.513333333333,0.73779296875,12688,11057,00:04.4767214
957.4575,333.64,0.73779296875,12688,11057,00:04.4923592
956.175,333.766666666667,0.73779296875,12675,11091,00:04.5081305
955.32,334.02,0.73779296875,12675,11091,00:04.5236393
955.035,334.02,0.73779296875,12675,11091,00:04.5236393
954.465,334.146666666667,0.73779296875,12675,11091,00:04.5392159
953.325,334.4,0.73779296875,12675,11091,00:04.5548388
952.47,334.653333333333,0.73779296875,12675,11091,00:04.5704601
951.33,335.033333333333,0.73779296875,12675,11091,00:04.5926155
949.1925,335.666666666667,0.73779296875,12675,11091,00:04.6082356
947.7675,336.173333333333,0.73779296875,12675,11091,00:04.6238555
945.915,336.933333333333,0.73779296875,12675,11091,00:04.6394836
944.6325,337.44,0.73779296875,12675,11091,00:04.6550927
942.495,338.706666666667,0.73779296875,12675,11091,00:04.6550927
942.0675,338.96,0.73779296875,12675,11091,00:04.6772676
940.785,339.846666666667,0.73779296875,12675,11091,00:04.6772676
940.3575,340.226666666667,0.73779296875,12675,11091,00:04.6929021
938.0775,342.253333333333,0.744384765625,12675,11091,00:04.6929021
937.5075,342.633333333333,0.744384765625,12726,11127,00:04.7085178
