X, Y, Pressure, TiltX, TiltY, Time
668.7525,635.486666666667,0.24951171875,13493,9542,00:02.4598821
668.61,637.26,0.264892578125,13493,9542,00:02.4598821
668.895,639.666666666667,0.26220703125,13493,9542,00:02.4598821
668.895,640.173333333333,0.26220703125,13493,9542,00:02.4754964
669.3225,641.82,0.266845703125,13493,9542,00:02.4909835
669.465,642.706666666667,0.273681640625,13493,9542,00:02.4909835
669.465,642.706666666667,0.2802734375,13493,9542,00:02.5067157
669.465,642.706666666667,0.302734375,13493,9542,00:02.5287117
669.465,642.706666666667,0.404052734375,13493,9542,00:02.5442475
669.465,642.2,0.4638671875,13493,9542,00:02.5599071
669.18,640.933333333333,0.509033203125,13493,9542,00:02.5755670
669.18,639.286666666667,0.53759765625,13493,9542,00:02.5755670
668.895,637.513333333333,0.552978515625,13493,9542,00:02.5908367
668.895,636.88,0.557373046875,13493,9542,00:02.6065949
668.4675,633.586666666667,0.57373046875,13493,9542,00:02.6126087
668.325,632.446666666667,0.577392578125,13493,9542,00:02.6126087
668.1825,631.306666666667,0.5810546875,13493,9542,00:02.6282490
667.185,626.24,0.60302734375,13493,9542,00:02.6439212
666.045,620.666666666667,0.627197265625,13493,9542,00:02.6595540
664.4775,615.22,0.64794921875,13493,9542,00:02.6595540
663.9075,613.7,0.652099609375,13493,9542,00:02.6752608
662.4825,608.886666666667,0.663818359375,13493,9542,00:02.6907340
660.4875,601.793333333333,0.673095703125,13493,9542,00:02.7063443
658.4925,593.813333333333,0.680908203125,13493,9542,00:02.7063443
658.065,591.66,0.683349609375,13493,9542,00:02.7284964
656.2125,580.893333333333,0.695556640625,13493,9542,00:02.7284964
655.9275,578.866666666667,0.697998046875,13493,9542,00:02.7441140
655.3575,570.253333333333,0.705322265625,13493,9542,00:02.7597391
655.0725,561.386666666667,0.70947265625,13493,9542,00:02.7597391
655.0725,558.98,0.70947265625,13493,9542,00:02.7753596
655.5,552.013333333333,0.71142578125,13493,9542,00:02.7909874
656.7825,538.333333333333,0.71337890625,13493,9542,00:02.8066025
657.78,529.086666666667,0.71533203125,13493,9542,00:02.8131189
658.2075,525.92,0.71533203125,13493,9542,00:02.8131189
658.7775,522.753333333333,0.717529296875,13490,9593,00:02.8287548
660.63,510.213333333333,0.72314453125,13490,9593,00:02.8443770
662.4825,495.14,0.727783203125,13487,9644,00:02.8600027
663.3375,483.613333333333,0.732177734375,13481,9749,00:02.8756241
663.6225,472.213333333333,0.740478515625,13477,9798,00:02.8914650
663.3375,460.813333333333,0.749267578125,13469,9900,00:02.9069067
663.195,448.906666666667,0.758544921875,13469,9900,00:02.9134208
663.0525,445.993333333333,0.7607421875,13469,9900,00:02.9290896
661.9125,431.046666666667,0.775390625,13460,10003,00:02.9446828
660.7725,419.646666666667,0.784423828125,13455,10053,00:02.9446828
660.4875,416.733333333333,0.784423828125,13455,10053,00:02.9604460
659.9175,407.993333333333,0.788330078125,13455,10053,00:02.9604460
659.6325,405.08,0.788330078125,13455,10053,00:02.9759616
659.3475,396.34,0.79052734375,13450,10105,00:02.9915349
659.3475,384.686666666667,0.79248046875,13450,10105,00:03.0071577
659.49,370.626666666667,0.79248046875,13450,10105,00:03.0315841
659.6325,357.326666666667,0.79248046875,13445,10154,00:03.0560382
660.345,339.086666666667,0.79443359375,13439,10205,00:03.0716820
660.63,330.98,0.79638671875,13433,10251,00:03.0872797
661.2,323.633333333333,0.79443359375,13433,10251,00:03.0872797
661.3425,321.86,0.79443359375,13433,10251,00:03.1029014
661.9125,316.92,0.79443359375,13428,10299,00:03.1139217
662.4825,312.36,0.79443359375,13421,10347,00:03.1139217
662.625,310.713333333333,0.79443359375,13421,10347,00:03.1295524
663.3375,305.266666666667,0.79443359375,13421,10347,00:03.1295524
663.6225,304.126666666667,0.79443359375,13421,10347,00:03.1451801
664.05,301.72,0.79443359375,13421,10347,00:03.1608081
665.0475,297.286666666667,0.79443359375,13407,10449,00:03.1608081
665.19,296.526666666667,0.79443359375,13407,10449,00:03.1764277
665.76,294.753333333333,0.79443359375,13407,10449,00:03.1764277
665.9025,294.12,0.79443359375,13407,10449,00:03.1921085
666.33,292.853333333333,0.79443359375,13393,10542,00:03.1921085
666.4725,292.473333333333,0.79443359375,13393,10542,00:03.2099467
666.9,291.46,0.79443359375,13393,10542,00:03.2139592
666.9,291.206666666667,0.79443359375,13393,10542,00:03.2295942
667.47,290.193333333333,0.79443359375,13393,10542,00:03.2455194
668.325,289.433333333333,0.79443359375,13385,10587,00:03.2609898
669.18,288.926666666667,0.79443359375,13385,10587,00:03.2764559
670.035,288.673333333333,0.79443359375,13377,10633,00:03.2920760
671.175,288.166666666667,0.79443359375,13377,10633,00:03.2920760
671.6025,288.166666666667,0.79443359375,13377,10633,00:03.3076973
672.315,288.04,0.79443359375,13377,10633,00:03.3142039
673.0275,287.913333333333,0.79443359375,13377,10633,00:03.3142039
673.3125,287.786666666667,0.79443359375,13377,10633,00:03.3298310
674.4525,287.913333333333,0.79443359375,13377,10633,00:03.3298310
674.4525,287.913333333333,0.79443359375,13377,10633,00:03.3454631
675.3075,287.786666666667,0.79443359375,13377,10633,00:03.3610776
676.59,288.166666666667,0.79638671875,13377,10633,00:03.3767004
676.875,288.166666666667,0.79638671875,13377,10633,00:03.3767004
677.16,288.293333333333,0.79443359375,13377,10633,00:03.3923203
678.1575,288.8,0.79443359375,13377,10633,00:03.3923203
678.585,288.926666666667,0.79443359375,13377,10633,00:03.4145173
680.1525,289.813333333333,0.79443359375,13377,10633,00:03.4145173
680.58,290.066666666667,0.79443359375,13377,10633,00:03.4301526
683.43,290.826666666667,0.79248046875,13377,10633,00:03.4457706
687.8475,292.093333333333,0.79052734375,13377,10633,00:03.4457706
688.845,292.093333333333,0.79052734375,13377,10633,00:03.4613990
692.265,292.473333333333,0.79052734375,13377,10633,00:03.4772291
697.965,292.726666666667,0.78857421875,13377,10633,00:03.4772291
699.5325,292.853333333333,0.78857421875,13377,10633,00:03.4926356
704.6625,292.98,0.78857421875,13377,10633,00:03.5082578
711.5025,293.106666666667,0.78857421875,13377,10633,00:03.5082578
713.2125,293.106666666667,0.78857421875,13377,10633,00:03.5147770
714.9225,293.106666666667,0.78662109375,13377,10633,00:03.5304491
723.4725,293.486666666667,0.78662109375,13377,10633,00:03.5461867
732.45,293.993333333333,0.78662109375,13377,10633,00:03.5461867
734.8725,294.12,0.78662109375,13369,10678,00:03.5616582
742.2825,294.753333333333,0.78662109375,13369,10678,00:03.5772723
752.97,295.766666666667,0.78662109375,13369,10678,00:03.5929027
764.5125,297.033333333333,0.78466796875,13360,10729,00:03.6085280
778.905,298.933333333333,0.78466796875,13360,10729,00:03.6306772
797.0025,301.466666666667,0.78466796875,13360,10729,00:03.6463039
811.965,304.126666666667,0.78466796875,13360,10729,00:03.6619249
822.9375,306.28,0.78466796875,13341,10826,00:03.6619249
825.5025,306.786666666667,0.78466796875,13331,10874,00:03.6775464
833.34,308.56,0.78466796875,13322,10917,00:03.6931678
842.0325,310.713333333333,0.78466796875,13312,10962,00:03.7091404
849.3,312.36,0.798583984375,13301,11006,00:03.7307711
858.8475,314.766666666667,0.785888671875,13301,11006,00:03.7307711
859.9875,315.02,0.785888671875,13301,11006,00:03.7463971
862.98,315.78,0.785888671875,13301,11006,00:03.7463971
863.835,316.033333333333,0.785888671875,13301,11006,00:03.7620465
865.9725,316.413333333333,0.785888671875,13301,11006,00:03.7776455
867.6825,316.92,0.785888671875,13301,11006,00:03.7934127
868.395,316.92,0.788330078125,13301,11006,00:03.8088848
868.965,316.92,0.790283203125,13301,11006,00:03.8088848
868.965,316.92,0.792236328125,13301,11006,00:03.8154086
868.965,316.92,0.792236328125,13301,11006,00:03.8310849
868.965,316.793333333333,0.796142578125,13301,11006,00:03.8466760
868.68,315.906666666667,0.800048828125,13301,11006,00:03.8466760
868.5375,315.653333333333,0.800048828125,13301,11006,00:03.8622892
868.11,314.893333333333,0.802001953125,13301,11006,00:03.8622892
867.825,314.64,0.802001953125,13301,11006,00:03.8779100
867.255,314.006666666667,0.802001953125,13301,11006,00:03.8779100
867.1125,313.753333333333,0.802001953125,13301,11006,00:03.8935259
866.4,312.74,0.803955078125,13291,11048,00:03.8935259
866.2575,312.486666666667,0.803955078125,13291,11048,00:03.9091904
865.83,311.853333333333,0.803955078125,13281,11090,00:03.9091904
865.83,311.853333333333,0.803955078125,13281,11090,00:03.9313422
865.26,311.346666666667,0.803955078125,13281,11090,00:03.9313422
865.26,311.346666666667,0.803955078125,13281,11090,00:03.9469660
865.26,311.346666666667,0.803955078125,13281,11090,00:03.9625905
865.1175,310.966666666667,0.803955078125,13281,11090,00:03.9785013
865.1175,310.966666666667,0.803955078125,13281,11090,00:03.9942564
865.1175,310.966666666667,0.802001953125,13281,11090,00:03.9942564
865.1175,310.966666666667,0.802001953125,13281,11090,00:04.0098970
865.1175,310.966666666667,0.802001953125,13281,11090,00:04.0159155
865.1175,310.966666666667,0.802001953125,13281,11090,00:04.0318500
865.1175,310.966666666667,0.802001953125,13281,11090,00:04.0318500
865.1175,310.966666666667,0.802001953125,13281,11090,00:04.0472233
865.1175,310.966666666667,0.802001953125,13281,11090,00:04.0628470
865.1175,310.966666666667,0.802001953125,13281,11090,00:04.0784582
865.26,311.22,0.802001953125,13281,11090,00:04.0940473
865.545,311.6,0.802001953125,13281,11090,00:04.1096563
865.83,311.853333333333,0.802001953125,13281,11090,00:04.1318099
866.2575,312.486666666667,0.802001953125,13270,11132,00:04.1474264
866.5425,313.12,0.802001953125,13270,11132,00:04.1630449
866.8275,313.88,0.802001953125,13270,11132,00:04.1786672
866.97,314.766666666667,0.802001953125,13270,11132,00:04.1942949
867.1125,316.54,0.802001953125,13270,11132,00:04.2164484
867.255,318.186666666667,0.802001953125,13270,11132,00:04.2320871
867.255,321.226666666667,0.802001953125,13270,11132,00:04.2477051
866.8275,324.393333333333,0.802001953125,13270,11132,00:04.2633254
866.685,329.586666666667,0.802001953125,13270,11132,00:04.2790903
866.5425,333.766666666667,0.802001953125,13270,11132,00:04.2945678
866.4,338.2,0.802001953125,13270,11132,00:04.3101949
866.2575,344.406666666667,0.802001953125,13270,11132,00:04.3167182
866.115,348.333333333333,0.800048828125,13270,11132,00:04.3323986
865.26,357.073333333333,0.800048828125,13270,11132,00:04.3323986
864.975,359.48,0.800048828125,13270,11132,00:04.3479756
863.835,367.586666666667,0.800048828125,13270,11132,00:04.3636096
862.41,378.226666666667,0.800048828125,13270,11132,00:04.3792086
860.415,389.246666666667,0.800048828125,13270,11132,00:04.3948298
858.8475,400.013333333333,0.800048828125,13270,11132,00:04.3948298
858.42,402.546666666667,0.800048828125,13270,11132,00:04.4104512
857.4225,412.933333333333,0.800048828125,13270,11132,00:04.4169562
857.28,415.466666666667,0.800048828125,13270,11132,00:04.4325842
856.5675,424.966666666667,0.800048828125,13270,11132,00:04.4482046
856.425,434.213333333333,0.800048828125,13270,11132,00:04.4482046
856.425,436.366666666667,0.800048828125,13270,11132,00:04.4665330
856.2825,442.573333333333,0.800048828125,13270,11132,00:04.4741772
856.2825,444.6,0.800048828125,13270,11132,00:04.4898069
856.425,457.266666666667,0.800048828125,13270,11132,00:04.4898069
856.425,458.786666666667,0.800048828125,13270,11132,00:04.5057215
856.425,463.093333333333,0.806884765625,13270,11132,00:04.5057215
856.2825,464.36,0.806884765625,13270,11132,00:04.5172492
856.2825,465.626666666667,0.80419921875,13270,11132,00:04.5328887
855.855,471.073333333333,0.80029296875,13270,11132,00:04.5328887
855.7125,472.086666666667,0.80029296875,13270,11132,00:04.5485090
855.285,475.126666666667,0.80029296875,13270,11132,00:04.5485090
855.1425,475.76,0.80029296875,13270,11132,00:04.5641500
854.8575,477.026666666667,0.80029296875,13270,11132,00:04.5813050
854.2875,479.686666666667,0.80029296875,13270,11132,00:04.5970275
853.4325,481.333333333333,0.80419921875,13270,11132,00:04.6175763
852.72,482.726666666667,0.80419921875,13270,11132,00:04.6332152
851.58,484.373333333333,0.80419921875,13270,11132,00:04.6488395
850.725,485.26,0.80419921875,13270,11132,00:04.6644514
849.7275,486.273333333333,0.806884765625,13270,11132,00:04.6800716
849.1575,486.906666666667,0.80419921875,13270,11132,00:04.6956915
848.73,487.54,0.80419921875,13270,11132,00:04.7178188
848.0175,488.3,0.80419921875,13270,11132,00:04.7178188
848.0175,488.3,0.80419921875,13270,11132,00:04.7334449
847.7325,488.933333333333,0.80419921875,13270,11132,00:04.7490665
847.305,489.44,0.80419921875,13270,11132,00:04.7646944
847.305,489.44,0.80224609375,13270,11132,00:04.7646944
847.305,489.44,0.80224609375,13270,11132,00:04.7803260
847.305,489.82,0.80224609375,13270,11132,00:04.7803260
847.305,489.82,0.80224609375,13270,11132,00:04.7959360
847.305,489.82,0.80224609375,13270,11132,00:04.8177430
847.305,489.82,0.80224609375,13270,11132,00:04.8177430
847.305,489.82,0.80224609375,13270,11132,00:04.8335440
847.305,489.82,0.80224609375,13270,11132,00:04.8489980
847.305,489.82,0.80224609375,13270,11132,00:04.8646668
847.305,489.82,0.80224609375,13270,11132,00:04.8805673
847.305,489.82,0.80029296875,13270,11132,00:04.8805673
847.305,489.82,0.80029296875,13270,11132,00:04.8959280
847.305,489.82,0.80029296875,13270,11132,00:04.9117376
847.305,489.82,0.80029296875,13270,11132,00:04.9334548
847.305,489.82,0.7978515625,13270,11132,00:04.9489955
847.305,489.82,0.7919921875,13270,11132,00:04.9646261
847.305,489.82,0.781494140625,13270,11132,00:04.9802376
847.305,489.82,0.77001953125,13270,11132,00:04.9802376
847.305,489.82,0.767578125,13322,11168,00:04.9958588
847.305,489.82,0.7578125,13322,11168,00:05.0340787
847.305,489.82,0.7392578125,13322,11168,00:05.0340787
847.305,489.82,0.730712890625,13322,11168,00:05.0340787
847.305,489.82,0.702392578125,13322,11168,00:05.0497074
847.305,489.82,0.6865234375,13322,11168,00:05.0497074
847.305,489.82,0.634033203125,13322,11168,00:05.0653949
847.305,489.82,0.53173828125,13322,11168,00:05.0653949
847.875,489.313333333333,0.1025390625,13575,11925,00:05.7515741
847.4475,489.06,0.10791015625,13575,11925,00:05.7675034
847.305,488.933333333333,0.15234375,13575,11925,00:05.7827711
847.305,488.426666666667,0.157470703125,13575,11925,00:05.7827711
847.305,488.426666666667,0.161865234375,13575,11925,00:05.7983065
847.7325,487.54,0.173583984375,13575,11925,00:05.8138296
848.73,486.526666666667,0.23046875,13575,11925,00:05.8359621
850.8675,485.64,0.30078125,13575,11925,00:05.8368982
851.4375,485.64,0.30810546875,13575,11925,00:05.8452631
852.0075,485.64,0.3154296875,13575,11925,00:05.8635068
855.7125,486.526666666667,0.343505859375,13575,11925,00:05.8791840
858.135,487.92,0.362060546875,13575,11925,00:05.8791840
858.8475,488.3,0.366455078125,13575,11925,00:05.8947678
860.5575,489.693333333333,0.378662109375,13515,11873,00:05.9100584
862.98,491.846666666667,0.394287109375,13458,11826,00:05.9100584
863.55,492.48,0.398193359375,13458,11826,00:05.9205646
865.26,494.633333333333,0.412109375,13443,11867,00:05.9361976
867.3975,497.04,0.425048828125,13443,11867,00:05.9530289
870.675,500.08,0.432861328125,13429,11906,00:05.9540544
871.53,500.84,0.432861328125,13429,11906,00:05.9697167
875.52,503.753333333333,0.442138671875,13429,11906,00:05.9697167
876.2325,504.513333333333,0.4443359375,13429,11906,00:05.9853155
879.225,506.413333333333,0.451416015625,13315,11811,00:05.9853155
879.9375,506.92,0.453857421875,13315,11811,00:06.0009351
882.645,508.566666666667,0.460693359375,13260,11765,00:06.0009351
883.215,509.073333333333,0.462890625,13260,11765,00:06.0205732
884.925,510.34,0.474609375,13260,11765,00:06.0362770
888.915,513.126666666667,0.493408203125,13260,11765,00:06.0362770
889.485,513.633333333333,0.495361328125,13260,11765,00:06.0518359
891.6225,515.153333333333,0.500244140625,13260,11765,00:06.0518359
892.335,515.66,0.500244140625,13260,11765,00:06.0677788
894.9,517.433333333333,0.505126953125,13260,11765,00:06.0677788
895.755,518.066666666667,0.505126953125,13260,11765,00:06.0830988
897.8925,520.22,0.507080078125,13260,11765,00:06.0830988
898.7475,520.98,0.507080078125,13204,11719,00:06.0986885
901.17,523.64,0.507080078125,13098,11633,00:06.0986885
902.025,524.526666666667,0.507080078125,13098,11633,00:06.1143212
904.4475,527.186666666667,0.507080078125,13098,11633,00:06.1208429
905.16,528.073333333333,0.507080078125,13098,11633,00:06.1364792
