X, Y, Pressure, TiltX, TiltY, Time
794.58,590.393333333333,0.404541015625,11175,8685,00:03.2970146
791.8725,589,0.429443359375,11175,8685,00:03.3124967
787.17,584.313333333333,0.470703125,11234,8676,00:03.3286210
785.3175,580.766666666667,0.50927734375,11292,8735,00:03.3435202
784.1775,576.46,0.540771484375,11298,8812,00:03.3584302
783.75,571.393333333333,0.565673828125,11303,8894,00:03.3747872
784.1775,565.06,0.58740234375,11303,8894,00:03.3779370
784.605,563.286666666667,0.591064453125,11303,8894,00:03.3888608
785.745,558.22,0.6005859375,11304,8944,00:03.4045155
788.025,552.14,0.6123046875,11407,9076,00:03.4055132
788.595,550.62,0.6162109375,11461,9116,00:03.4188590
790.7325,546.186666666667,0.628662109375,11460,9141,00:03.4357686
794.01,540.613333333333,0.65625,11460,9141,00:03.4367610
795.0075,539.22,0.662353515625,11460,9141,00:03.4487449
797.8575,535.293333333333,0.679931640625,11455,9234,00:03.4660807
802.275,530.606666666667,0.697021484375,11441,9378,00:03.4797000
809.97,524.653333333333,0.703857421875,11418,9532,00:03.4946920
817.095,519.966666666667,0.7060546875,11418,9532,00:03.4957967
818.805,518.953333333333,0.7060546875,11418,9532,00:03.5099208
824.505,515.66,0.708251953125,11408,9585,00:03.5113332
826.5,514.646666666667,0.708251953125,11402,9619,00:03.5313194
834.9075,511.226666666667,0.705322265625,11369,9759,00:03.5323171
837.045,510.34,0.708251953125,11360,9793,00:03.5453742
842.6025,508.313333333333,0.710205078125,11285,9859,00:03.5473636
844.455,507.806666666667,0.710205078125,11274,9894,00:03.5614253
849.4425,506.666666666667,0.71240234375,11243,9982,00:03.5766085
855.9975,506.16,0.7255859375,11200,10090,00:03.5778055
857.4225,506.16,0.730712890625,11200,10090,00:03.5902898
861.6975,506.54,0.740234375,11145,10061,00:03.6058613
866.685,507.68,0.754638671875,11086,10055,00:03.6209368
871.6725,509.2,0.780517578125,11068,10094,00:03.6365346
876.945,510.973333333333,0.803955078125,11059,10113,00:03.6518203
882.5025,513.506666666667,0.82373046875,10973,10122,00:03.6532472
883.6425,514.14,0.8271484375,10973,10122,00:03.6669109
886.635,516.166666666667,0.83544921875,10923,10092,00:03.6853123
889.9125,519.46,0.8447265625,10876,10064,00:03.7020508
893.3325,522.753333333333,0.852783203125,10888,10040,00:03.7200076
897.8925,527.06,0.866455078125,10842,10013,00:03.7349815
901.17,530.606666666667,0.878173828125,10842,10013,00:03.7500680
903.8775,534.28,0.887939453125,10615,9883,00:03.7641836
906.015,538.333333333333,0.891845703125,10581,9819,00:03.7792360
907.8675,542.513333333333,0.909912109375,10624,9723,00:03.7951025
909.15,546.82,0.921875,10503,9568,00:03.8092947
910.1475,551.253333333333,0.929931640625,10508,9551,00:03.8237790
910.86,555.813333333333,0.934814453125,10465,9519,00:03.8397716
911.43,560.753333333333,0.93701171875,10436,9432,00:03.8551077
911.715,565.186666666667,0.939208984375,10461,9327,00:03.8700840
911.2875,570,0.941162109375,10485,9177,00:03.8850229
911.0025,573.04,0.941162109375,10438,9118,00:03.8901022
910.86,573.673333333333,0.941162109375,10438,9118,00:03.9056400
910.575,575.573333333333,0.941162109375,10438,9118,00:03.9229402
910.29,578.36,0.941162109375,10439,9105,00:03.9374822
909.5775,580.133333333333,0.941162109375,10439,9105,00:03.9522447
908.295,581.906666666667,0.93701171875,10442,9037,00:03.9537309
908.01,582.286666666667,0.93505859375,10442,9023,00:03.9672869
907.44,583.553333333333,0.9326171875,10442,8973,00:03.9810206
905.5875,585.073333333333,0.9306640625,10439,8897,00:03.9958608
904.02,586.466666666667,0.9287109375,10435,8843,00:04.0108713
902.1675,587.733333333333,0.926513671875,10428,8789,00:04.0267224
900.1725,589,0.92236328125,10419,8727,00:04.0408154
897.8925,589.886666666667,0.92041015625,10413,8697,00:04.0615739
894.4725,590.646666666667,0.913818359375,10413,8697,00:04.0719316
891.6225,590.9,0.908203125,10406,8662,00:04.0797398
890.91,590.9,0.908203125,10403,8650,00:04.0877281
888.7725,590.9,0.90625,10392,8607,00:04.1087840
885.0675,590.393333333333,0.901123046875,10387,8587,00:04.1249863
881.3625,589.886666666667,0.89892578125,10387,8587,00:04.1260123
880.65,589.633333333333,0.89892578125,10387,8587,00:04.1392260
877.3725,589.506666666667,0.89697265625,10387,8587,00:04.1549703
872.67,589.126666666667,0.89697265625,10383,8573,00:04.1703729
867.6825,588.62,0.89697265625,10383,8573,00:04.1720569
866.4,588.493333333333,0.89697265625,10383,8573,00:04.1853301
862.695,587.986666666667,0.89697265625,10387,8587,00:04.1999153
857.1375,587.226666666667,0.89697265625,10391,8601,00:04.2019065
855.9975,587.1,0.89697265625,10394,8615,00:04.2149473
852.435,586.72,0.89892578125,10394,8615,00:04.2303585
848.3025,586.466666666667,0.901123046875,10410,8681,00:04.2455286
843.03,587.353333333333,0.908447265625,10428,8786,00:04.2509125
841.89,587.606666666667,0.908447265625,10430,8805,00:04.2602669
838.6125,588.493333333333,0.910400390625,10434,8834,00:04.2752127
834.765,589.886666666667,0.912353515625,10434,8834,00:04.2807730
833.7675,590.266666666667,0.912353515625,10434,8834,00:04.2965211
830.0625,591.533333333333,0.912353515625,10491,8841,00:04.3122855
826.9275,592.673333333333,0.914306640625,10545,8850,00:04.3270732
823.935,593.94,0.916259765625,10545,8850,00:04.3409586
820.6575,595.206666666667,0.918212890625,10547,8880,00:04.3558827
817.38,596.473333333333,0.918212890625,10547,8880,00:04.3712753
814.53,597.106666666667,0.920166015625,10547,8880,00:04.3871994
811.965,597.486666666667,0.920166015625,10612,8875,00:04.4020634
809.8275,597.36,0.917724609375,10873,8853,00:04.4168018
807.975,597.233333333333,0.91552734375,10873,8853,00:04.4391543
805.695,596.98,0.9111328125,10926,8849,00:04.4540305
803.8425,596.726666666667,0.90576171875,10926,8849,00:04.4858746
801.705,596.473333333333,0.890380859375,10926,8849,00:04.4977071
800.1375,596.093333333333,0.86474609375,10926,8849,00:04.5003956
