X, Y, Pressure, TiltX, TiltY, Time
716.205,548.086666666667,0.4375,9000,9000,00:02.9030770
711.36,535.926666666667,0.45263671875,11072,11306,00:02.9185828
709.365,531.113333333333,0.4921875,11072,11306,00:02.9344092
706.23,524.02,0.558349609375,11072,11306,00:02.9520729
702.9525,515.66,0.61279296875,11072,11306,00:02.9677028
700.245,505.273333333333,0.66845703125,11117,11355,00:02.9877067
698.82,495.013333333333,0.704345703125,11117,11355,00:03.0033821
698.25,486.78,0.72607421875,11117,11355,00:03.0033821
697.965,484.626666666667,0.72900390625,11117,11355,00:03.0189584
697.8225,477.533333333333,0.736572265625,11117,11355,00:03.0345805
697.5375,468.16,0.745361328125,11117,11355,00:03.0501966
697.11,454.986666666667,0.760986328125,11117,11355,00:03.0658188
696.825,443.586666666667,0.778076171875,11117,11355,00:03.0814434
696.54,431.173333333333,0.79248046875,11056,11405,00:03.0879607
696.54,428.133333333333,0.794677734375,11056,11405,00:03.1036025
697.11,408.5,0.806884765625,11035,11422,00:03.1192246
697.395,395.2,0.813720703125,11012,11439,00:03.1348434
697.8225,382.533333333333,0.823486328125,11012,11439,00:03.1348434
697.8225,379.493333333333,0.826416015625,11012,11439,00:03.1504681
697.8225,371.006666666667,0.835205078125,11012,11439,00:03.1504681
697.68,368.22,0.837158203125,10990,11456,00:03.1664330
697.11,360.493333333333,0.843017578125,10990,11456,00:03.1664330
696.9675,358.213333333333,0.843017578125,10990,11456,00:03.1821083
696.1125,351.373333333333,0.848876953125,10990,11456,00:03.1881132
695.4,347.066666666667,0.851318359375,10990,11456,00:03.2037431
694.1175,339.72,0.853759765625,10990,11456,00:03.2037431
693.8325,338.2,0.853759765625,10990,11456,00:03.2193934
692.6925,333.006666666667,0.855712890625,10990,11456,00:03.2193934
692.265,331.36,0.855712890625,10990,11456,00:03.2349828
690.9825,326.293333333333,0.855712890625,10990,11456,00:03.2506434
689.7,320.72,0.85791015625,10965,11474,00:03.2506434
689.2725,319.453333333333,0.8603515625,10965,11474,00:03.2662261
687.99,315.4,0.8603515625,10965,11474,00:03.2662261
687.705,314.133333333333,0.8603515625,10965,11474,00:03.2818506
686.4225,310.333333333333,0.862548828125,10936,11495,00:03.3041555
684.285,302.226666666667,0.85986328125,10869,11540,00:03.3196511
683.145,298.173333333333,0.85986328125,10869,11540,00:03.3196511
683.0025,297.033333333333,0.85986328125,10828,11488,00:03.3352714
682.29,293.866666666667,0.86181640625,10828,11488,00:03.3352714
682.1475,292.726666666667,0.86181640625,10828,11488,00:03.3508923
681.15,288.546666666667,0.866455078125,10828,11488,00:03.3665251
680.01,284.746666666667,0.870361328125,10802,11504,00:03.3886664
678.87,280.693333333333,0.872314453125,10802,11504,00:03.3886664
678.87,280.06,0.872314453125,10802,11504,00:03.4043001
678.015,278.16,0.872314453125,10802,11504,00:03.4199221
677.3025,276.64,0.872314453125,10802,11504,00:03.4355515
676.7325,275.373333333333,0.872314453125,10802,11504,00:03.4514723
676.305,275.12,0.872314453125,10802,11504,00:03.4671920
676.305,275.12,0.872314453125,10802,11504,00:03.4671920
676.305,275.12,0.872314453125,10802,11504,00:03.4827186
676.1625,274.993333333333,0.872314453125,10802,11504,00:03.4887274
675.8775,275.12,0.872314453125,10802,11504,00:03.4887274
675.5925,275.246666666667,0.8701171875,10802,11504,00:03.5043822
674.88,275.88,0.8681640625,10802,11504,00:03.5043822
674.7375,276.006666666667,0.8681640625,10802,11504,00:03.5200524
674.4525,276.766666666667,0.8681640625,10802,11504,00:03.5200524
674.4525,276.766666666667,0.8681640625,10802,11504,00:03.5356377
674.025,277.273333333333,0.8681640625,10802,11504,00:03.5356377
673.8825,277.653333333333,0.8681640625,10802,11504,00:03.5512748
673.74,278.286666666667,0.8681640625,10802,11504,00:03.5668425
673.0275,280.44,0.8681640625,10802,11504,00:03.5824649
672.315,283.986666666667,0.8681640625,10802,11504,00:03.6046399
670.89,292.6,0.8681640625,10802,11504,00:03.6202619
669.75,300.706666666667,0.8681640625,10802,11504,00:03.6202619
669.3225,302.986666666667,0.8681640625,10802,11504,00:03.6358781
668.04,309.573333333333,0.8681640625,10802,11504,00:03.6514993
666.045,321.733333333333,0.8681640625,10802,11504,00:03.6671213
663.9075,332.246666666667,0.8681640625,10701,11565,00:03.6671213
663.48,335.033333333333,0.8681640625,10701,11565,00:03.6827418
661.3425,343.393333333333,0.8681640625,10667,11517,00:03.6827418
660.63,346.433333333333,0.8681640625,10667,11517,00:03.6892662
660.06,349.473333333333,0.8681640625,10667,11517,00:03.7049091
657.3525,365.306666666667,0.8701171875,10723,11596,00:03.7049091
656.64,368.726666666667,0.872314453125,10723,11596,00:03.7205228
655.3575,379.24,0.874267578125,10812,11719,00:03.7362112
653.9325,394.313333333333,0.878173828125,10777,11670,00:03.7517643
653.79,398.113333333333,0.880126953125,10740,11619,00:03.7673941
