X, Y, Pressure, TiltX, TiltY, Time
489.345,454.986666666667,0.0732421875,12791,9641,00:05.8105490
489.63,454.986666666667,0.0771484375,12791,9641,00:05.8261731
489.63,454.986666666667,0.135986328125,12795,9589,00:05.8418349
490.2,454.86,0.155517578125,12795,9589,00:05.8418349
490.3425,454.86,0.1640625,12795,9589,00:05.8574213
490.77,454.986666666667,0.178466796875,12795,9589,00:05.8732002
491.7675,454.86,0.20166015625,12795,9589,00:05.8887369
492.765,454.606666666667,0.217529296875,12795,9589,00:05.9045828
493.7625,454.1,0.23388671875,12795,9589,00:05.9045828
494.0475,454.1,0.237548828125,12795,9589,00:05.9201959
494.76,453.72,0.24755859375,12795,9589,00:05.9355856
496.0425,453.086666666667,0.258544921875,12795,9589,00:05.9511673
497.325,452.453333333333,0.266845703125,12795,9589,00:05.9667669
498.75,451.566666666667,0.273193359375,12795,9589,00:05.9667669
499.035,451.313333333333,0.273193359375,12795,9589,00:05.9823878
500.3175,450.806666666667,0.277587890625,12795,9589,00:05.9980090
502.0275,450.426666666667,0.281494140625,12795,9589,00:05.9980090
503.025,450.3,0.281494140625,12795,9589,00:06.0136294
505.875,450.046666666667,0.298828125,12795,9589,00:06.0292689
508.5825,450.046666666667,0.309814453125,12795,9589,00:06.0292689
509.295,450.046666666667,0.314453125,12795,9589,00:06.0448838
511.005,450.046666666667,0.32958984375,12594,9548,00:06.0605053
513,450.173333333333,0.32958984375,12594,9548,00:06.0761598
514.71,450.3,0.320068359375,12537,9578,00:06.0917369
516.2775,450.3,0.37060546875,12466,9636,00:06.0917369
516.5625,450.3,0.37060546875,12466,9636,00:06.1076591
517.845,450.3,0.355712890625,12466,9636,00:06.1230697
519.4125,450.046666666667,0.362548828125,12413,9623,00:06.1386626
521.1225,449.793333333333,0.367431640625,12347,9608,00:06.1386626
521.55,449.793333333333,0.367431640625,12400,9620,00:06.1565547
522.975,449.666666666667,0.373291015625,12400,9620,00:06.1565547
523.4025,449.666666666667,0.373291015625,12400,9620,00:06.1721907
525.255,449.413333333333,0.379150390625,12400,9620,00:06.2063467
527.9625,449.033333333333,0.385009765625,12338,9606,00:06.2063467
529.1025,449.16,0.386962890625,12338,9606,00:06.2219739
534.09,449.033333333333,0.392822265625,12338,9606,00:06.2375995
536.2275,449.033333333333,0.392822265625,12338,9606,00:06.2375995
