X, Y, Pressure, TiltX, TiltY, Time
708.6525,709.84,0.2294921875,9787,7284,00:03.2811609
708.6525,709.84,0.2333984375,10123,7054,00:03.3008364
708.6525,709.84,0.368896484375,10942,6725,00:03.3008364
708.6525,709.84,0.386962890625,11072,6688,00:03.3158623
708.3675,709.713333333333,0.428955078125,11391,6643,00:03.3324043
708.225,709.08,0.484619140625,11658,6655,00:03.3324043
708.225,709.08,0.497314453125,11737,6641,00:03.3473166
708.6525,708.32,0.533935546875,11777,6693,00:03.3483118
708.9375,708.193333333333,0.54541015625,11777,6693,00:03.3624029
709.65,707.686666666667,0.5791015625,11777,6693,00:03.3772014
710.9325,706.926666666667,0.619384765625,11777,6693,00:03.3782007
711.36,706.8,0.628173828125,11777,6693,00:03.3921424
712.215,706.166666666667,0.654052734375,11777,6693,00:03.3933308
712.5,705.913333333333,0.662109375,11777,6693,00:03.4068836
713.7825,705.153333333333,0.686279296875,11777,6693,00:03.4229282
715.4925,704.393333333333,0.7158203125,11777,6693,00:03.4253686
715.92,704.266666666667,0.720703125,11777,6693,00:03.4377904
717.345,703.76,0.733154296875,11777,6693,00:03.4388397
717.915,703.633333333333,0.738037109375,11777,6693,00:03.4527487
719.7675,703,0.752685546875,11777,6693,00:03.4539037
720.48,702.873333333333,0.7568359375,11777,6693,00:03.4719155
723.1875,702.366666666667,0.77587890625,11777,6693,00:03.4839462
726.18,701.86,0.800048828125,11777,6693,00:03.4874725
727.035,701.733333333333,0.802490234375,11777,6693,00:03.4981185
729.315,701.48,0.810791015625,11794,6716,00:03.5028115
730.17,701.48,0.815185546875,11794,6716,00:03.5224119
733.02,700.973333333333,0.83154296875,11794,6716,00:03.5377444
735.585,700.466666666667,0.8447265625,11794,6716,00:03.5517218
738.15,700.086666666667,0.855712890625,11794,6716,00:03.5656790
740.5725,699.833333333333,0.864990234375,11794,6716,00:03.5812935
743.1375,699.453333333333,0.871337890625,11794,6716,00:03.5825814
743.85,699.326666666667,0.874267578125,11794,6716,00:03.5963691
745.7025,698.946666666667,0.878173828125,11794,6716,00:03.6106722
748.2675,698.186666666667,0.885986328125,11794,6716,00:03.6257245
750.975,697.553333333333,0.891845703125,11794,6716,00:03.6405227
753.6825,696.666666666667,0.897216796875,11625,6861,00:03.6553785
756.39,695.653333333333,0.902099609375,11625,6861,00:03.6563756
756.96,695.4,0.902099609375,11625,6861,00:03.6712052
758.955,695.02,0.907470703125,11625,6861,00:03.6871422
761.52,694.386666666667,0.913330078125,11625,6861,00:03.6886256
762.09,694.26,0.913330078125,11625,6861,00:03.7019863
764.94,693.626666666667,0.918701171875,11625,6861,00:03.7166954
767.505,692.993333333333,0.923583984375,11625,6861,00:03.7216100
768.075,692.74,0.926025390625,11625,6861,00:03.7371568
770.7825,691.98,0.92822265625,11518,6952,00:03.7534240
773.3475,691.22,0.93212890625,11403,7050,00:03.7544287
773.9175,691.093333333333,0.93212890625,11403,7050,00:03.7682496
775.6275,690.46,0.93408203125,11403,7050,00:03.7830545
777.9075,690.46,0.93798828125,11295,7141,00:03.7973241
779.9025,690.08,0.93994140625,11246,7078,00:03.8135371
781.755,689.573333333333,0.94189453125,11208,7033,00:03.8145332
782.1825,689.573333333333,0.94189453125,11208,7033,00:03.8277536
783.465,689.32,0.944091796875,11171,6991,00:03.8433426
785.6025,688.56,0.946044921875,11171,6991,00:03.8577277
788.595,687.673333333333,0.947998046875,11132,6949,00:03.8618019
789.0225,687.673333333333,0.947998046875,11111,6926,00:03.8733275
790.4475,687.166666666667,0.947998046875,11070,6885,00:03.8967351
792.585,686.913333333333,0.947998046875,11070,6885,00:03.9122891
795.435,686.406666666667,0.952392578125,11070,6885,00:03.9258943
797.43,686.28,0.952392578125,11024,6932,00:03.9415434
799.425,686.153333333333,0.952392578125,10886,7072,00:03.9554977
801.2775,686.026666666667,0.954345703125,10886,7072,00:03.9710498
802.9875,685.773333333333,0.954345703125,10886,7072,00:03.9720489
803.415,685.773333333333,0.956298828125,10886,7072,00:03.9869382
804.84,685.52,0.956298828125,10829,7018,00:04.0009489
806.6925,685.52,0.956298828125,10758,6957,00:04.0158954
808.4025,685.52,0.958251953125,10724,6929,00:04.0309591
810.1125,685.14,0.958251953125,10687,6901,00:04.0463622
811.8225,685.013333333333,0.958251953125,10646,6871,00:04.0620065
813.105,684.886666666667,0.955322265625,10605,6842,00:04.0759916
814.245,684.38,0.955322265625,10581,6826,00:04.0921972
815.2425,684,0.955322265625,10581,6826,00:04.1055962
815.5275,683.873333333333,0.955322265625,10581,6826,00:04.1234022
816.525,683.366666666667,0.955322265625,10581,6826,00:04.1366248
817.38,682.986666666667,0.955322265625,10581,6826,00:04.1424220
818.3775,682.733333333333,0.955322265625,10547,6871,00:04.1514577
818.6625,682.48,0.955322265625,10547,6871,00:04.1574117
819.375,682.226666666667,0.955322265625,10547,6871,00:04.1730315
820.0875,681.973333333333,0.955322265625,10514,6915,00:04.1740058
820.515,681.846666666667,0.955322265625,10514,6915,00:04.1960879
821.085,681.72,0.955322265625,10514,6915,00:04.2031842
822.0825,681.213333333333,0.955322265625,10514,6915,00:04.2111530
822.0825,681.213333333333,0.955322265625,10514,6915,00:04.2184823
822.6525,680.833333333333,0.961181640625,10514,6915,00:04.2254808
822.9375,680.706666666667,0.961181640625,10480,6959,00:04.2334517
823.5075,680.453333333333,0.961181640625,10480,6959,00:04.2555419
824.505,680.073333333333,0.961181640625,10480,6959,00:04.2647251
825.36,679.566666666667,0.961181640625,10480,6959,00:04.2924731
826.3575,679.313333333333,0.961181640625,10480,6959,00:04.3012406
827.2125,679.186666666667,0.961181640625,10480,6959,00:04.3162252
827.4975,679.186666666667,0.961181640625,10480,6959,00:04.3172208
827.925,679.06,0.95849609375,10480,6959,00:04.3315412
828.78,678.933333333333,0.95654296875,10480,6959,00:04.3462026
829.635,678.806666666667,0.95849609375,10480,6959,00:04.3481988
829.92,678.68,0.95849609375,10480,6959,00:04.3615163
830.3475,678.553333333333,0.95849609375,10480,6959,00:04.3625535
830.3475,678.553333333333,0.955810546875,10480,6959,00:04.3772665
830.9175,678.426666666667,0.955810546875,10480,6959,00:04.3912533
831.2025,678.426666666667,0.953857421875,10480,6959,00:04.3922510
831.345,678.426666666667,0.953857421875,10480,6959,00:04.4056773
831.63,678.3,0.953857421875,10461,6947,00:04.4293110
831.63,678.3,0.953857421875,10461,6947,00:04.4437045
832.2,678.046666666667,0.94580078125,10443,6935,00:04.4447025
832.2,678.046666666667,0.94580078125,10443,6935,00:04.4511757
832.3425,678.046666666667,0.94580078125,10443,6935,00:04.4526645
832.3425,678.046666666667,0.94580078125,10443,6935,00:04.4724479
832.6275,677.92,0.94580078125,10443,6935,00:04.4734383
832.6275,677.92,0.94580078125,10423,6922,00:04.4879110
832.6275,677.92,0.94580078125,10423,6922,00:04.5069644
832.9125,677.793333333333,0.94580078125,10423,6922,00:04.5181656
833.055,677.666666666667,0.967041015625,10423,6922,00:04.5191842
833.055,677.666666666667,0.96337890625,10423,6922,00:04.5331442
833.1975,677.666666666667,0.94580078125,10423,6922,00:04.5481241
833.4825,677.286666666667,0.94580078125,10423,6922,00:04.5537108
833.625,677.033333333333,0.94580078125,10423,6922,00:04.5631797
833.625,677.033333333333,0.94580078125,10423,6922,00:04.5784108
833.625,677.033333333333,0.94580078125,10423,6922,00:04.5930520
833.625,677.033333333333,0.94580078125,10423,6922,00:04.5940821
833.625,676.906666666667,0.94580078125,10423,6922,00:04.6081459
833.7675,676.78,0.94384765625,10423,6922,00:04.6091473
833.7675,676.526666666667,0.94384765625,10423,6922,00:04.6233799
833.7675,676.526666666667,0.94384765625,10423,6922,00:04.6462119
833.91,676.02,0.94384765625,10401,6908,00:04.6622779
833.91,675.766666666667,0.94384765625,10401,6908,00:04.6775574
833.91,675.766666666667,0.94384765625,10401,6908,00:04.6914456
833.91,675.766666666667,0.94384765625,10401,6908,00:04.6924422
833.91,675.766666666667,0.94384765625,10401,6908,00:04.7056722
833.91,675.766666666667,0.94384765625,10401,6908,00:04.7289184
833.91,675.26,0.94384765625,10401,6908,00:04.7371203
834.0525,675.133333333333,0.94384765625,10401,6908,00:04.7381174
834.0525,675.006666666667,0.94384765625,10401,6908,00:04.7520112
834.195,674.88,0.94384765625,10401,6908,00:04.7526453
834.195,674.88,0.94384765625,10401,6908,00:04.7667198
834.3375,674.626666666667,0.94384765625,10401,6908,00:04.7677166
834.3375,674.626666666667,0.94384765625,10401,6908,00:04.7817598
834.3375,674.626666666667,0.94384765625,10401,6908,00:04.7972118
834.3375,674.626666666667,0.94384765625,10401,6908,00:04.7982166
834.3375,674.626666666667,0.94384765625,10401,6908,00:04.8126744
834.3375,674.626666666667,0.94384765625,10401,6908,00:04.8278317
834.3375,674.626666666667,0.94384765625,10365,6959,00:04.8416713
834.195,674.5,0.94384765625,10365,6959,00:04.8637238
834.195,674.246666666667,0.94384765625,10365,6959,00:04.8784549
834.195,674.246666666667,0.94189453125,10365,6959,00:04.8936124
834.195,674.246666666667,0.94189453125,10365,6959,00:04.9084799
834.195,674.246666666667,0.93994140625,10365,6959,00:04.9084799
834.195,674.246666666667,0.93994140625,10365,6959,00:04.9228471
834.195,674.246666666667,0.93798828125,10365,6959,00:04.9386167
834.195,674.246666666667,0.93798828125,10365,6959,00:04.9539974
834.195,674.246666666667,0.93798828125,10365,6959,00:04.9539974
834.195,674.246666666667,0.93798828125,10365,6959,00:04.9690117
834.195,674.246666666667,0.93603515625,10365,6959,00:04.9690117
834.195,674.246666666667,0.93603515625,10365,6959,00:04.9916884
834.48,674.373333333333,0.93603515625,10365,6959,00:04.9993515
834.765,674.5,0.93603515625,10365,6959,00:05.0144419
835.335,674.5,0.93603515625,10365,6959,00:05.0321100
835.335,674.5,0.93603515625,10365,6959,00:05.0528911
835.335,674.5,0.93603515625,10365,6959,00:05.0685227
835.62,674.626666666667,0.93603515625,10365,6959,00:05.0694064
835.62,674.626666666667,0.93603515625,10331,7007,00:05.0823592
835.905,674.753333333333,0.93603515625,10331,7007,00:05.0979725
836.19,674.88,0.93603515625,10331,7007,00:05.1119850
836.76,675.133333333333,0.93603515625,10331,7007,00:05.1281809
